objectid,filename,title,creator,date,description,subject,location,latitude,longitude,type,format,filedate,filesize,rights
hayward001,image_1001.jpeg,Our House,"Bulman, Angela",1999-11-01,Photograph of 524 Hayward Ave in Ames IA a few months before we moved in. ,house; Ames; rental property,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,267.7 KB,"Copyright 2024, Angela Bulman"
hayward002,image_1002.jpeg,Ready To Go,"Bulman, Angela",2000,Photograph of Julie heading out for the night. ,night out; dating; college life,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,131.2 KB,"Copyright 2024, Angela Bulman"
hayward003,image_1003.jpeg,Stocking the Fridge,"Bulman, Angela",2000,"Photograph of Angie, Emilee and Julie in the kitchen refilling the fridge with drinks.",fridge; friends; kitchen,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,157 KB,"Copyright 2024, Angela Bulman"
hayward004,image_1004.jpeg,Mary Kay Consultation,"Bulman, Angela",2000,Photograph of us during a Mary Kay consultation with a friend who was selling Mary Kay cosmetics ,makeup; Mary Kay; consultation; skin care; early 2000,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27, 156.8 KB,"Copyright 2024, Angela Bulman"
hayward005,image_1005.jpeg,First Fraternity Formal,"Bulman, Angela",2000-04,Photograph of Angie getting ready for the Triangle Fraternity Formal she was invited to.,fraternity formal; formal wear; spring formal,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27, 150.1 KB,"Copyright 2024, Angela Bulman"
hayward006,image_1006.jpeg,Sunbathing,"Bulman, Angela",2001-05,Photograph taken from the porch of us sunbathing in the back yard on a warm day. ,sunbathing; back yard; spring,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,121.4 KB,"Copyright 2024, Angela Bulman"
hayward007,image_1007.jpeg,A Typical Day,"Bulman, Angela",2001,Photograph of Julie smiling while holding her book and Emilee on the phone in the living room. ,phone; living room; college life,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,178.7 KB,"Copyright 2024, Angela Bulman"
hayward008,image_1008.jpeg,In the Back Yard,"Bulman, Angela",2001,Photograph of Angie in the back yard after classes eating an apple with the phone on her belt.,college life; cordless phone,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,155.9 KB,"Copyright 2024, Angela Bulman"
hayward009,image_1009.jpeg,House Party,"Bulman, Angela",2001,"Photograph of a Angie, Emilee and Julie in the back yard at a party we threw at the house. ",house party; college life; friends,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,159.7 KB,"Copyright 2024, Angela Bulman"
hayward010,image_1010.jpeg,Hello,"Bulman, Angela",2001,Photograph of Julie and Emilee each on the phone talking to different people.,phone; living room; cell phone,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,151.6 KB,"Copyright 2024, Angela Bulman"
hayward011,image_1011.jpeg,Emilee's Graduation,"Bulman, Angela",2002,Photograph of all of us at Emilee's graduation party held at the park.,park; graduation party; friends,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,294.4 KB,"Copyright 2024, Angela Bulman"
hayward012,image_1012.jpeg,Costume Formal ,"Bulman, Angela",2002,Photograph of Emily and Angie dressed for a fraternity costume formal. ,costume; fraternity formal,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,140.5 KB,"Copyright 2024, Angela Bulman"
hayward013,image_1013.jpeg,Happy Birthday,"Bulman, Angela",2002-09,Photograph of Angie and Julie with the cake Julie made for Angie's birthday,birthday; cake; chocolate; friends,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,145.7 KB,"Copyright 2024, Angela Bulman"
hayward014,image_1014.jpeg,At Cy's Roost,"Bulman, Angela",2003,Photograph of the roommates at Cy Roost in campus town,bars; Ames; college life,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,67.7 KB,"Copyright 2024, Angela Bulman"
hayward015,image_1015.jpeg,The Architects and Angie,"Bulman, Angela",2003,"Photograph of Angie, Jill, Amanda and Jesse in the dining room of the house.",archtecture students; Ames; college life; friends,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27, 109.7 KB,"Copyright 2024, Angela Bulman"
hayward016,image_1016.jpeg,Gathered Together,"Bulman, Angela",2003,"Photograph of Erin, Emily and Jill in the kitchen of the house",friends; college,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,134 KB,"Copyright 2024, Angela Bulman"
hayward017,image_1017.jpeg,Friends Like Family,"Bulman, Angela",2003,"Photograph of Jill, Emily, Ellyn, Erin, Angie and Amanda in front of the fire place in the living room. ",friends; roommates; college life,"Ames, Iowa",42.01698,-93.65153,Image;StillImage,image/jpeg,2024-04-27,59.7 KB,"Copyright 2024, Angela Bulman"
